ItemName,StockLevel,Cost,ReimbursementPotential,ExpirationDate
Ropinirole HCl,93417004,0.20,20029205.14,2028-07-16
Zolmitriptan,464842,8.83,4348556.40,2028-04-09
Ropinirole HCl,1607251,3.02,5146010.34,2028-07-25
Tolterodine Tartrate,10046,5.84,62152.14,2028-12-02
Zolmitriptan,29133,11.48,354445.52,2028-04-10
Zolmitriptan,6868,11.44,83298.36,2028-04-11
Ropinirole HCl,257672536,0.21,56746425.07,2028-07-22
Zolmitriptan,4333,8.23,37822.69,2028-04-05
Ropinirole HCl,109780686,0.21,24047014.58,2028-07-21
Ropinirole HCl,939136,3.00,2985052.93,2028-07-23
Zolmitriptan,105507,7.83,875810.45,2028-04-08
Pen G Pot/Dextrose-Water,884508,0.20,189651.24,2029-01-06
Penicillin V Potassium,22740525,0.25,6145235.85,2029-01-04
Lidocaine,9483900,1.71,17170804.38,2028-04-21
Pen G Pot/Dextrose-Water,884508,0.20,189651.24,2029-01-05
Lidocaine,20910979,1.62,35887014.41,2028-04-20
Metreleptin,2533,4483.78,12038865.86,2028-08-26
Penicillin V Potassium,5903428,0.26,1625443.18,2029-01-02
Metreleptin,2533,4483.78,12038865.86,2028-08-27
Penicillin V Potassium,421708,0.22,100103.03,2029-01-03
Ethambutol HCl,23104,0.78,19206.37,2028-08-24
Penicillin V Potassium,10266372,0.25,2770115.93,2028-12-31
Lidocaine,10329693,4.28,46918381.12,2028-04-17
Ethambutol HCl,23104,0.78,19206.37,2028-08-25
Penicillin V Potassium,1464026,0.28,429713.25,2029-01-01
Lidocaine HCl,74293039,0.07,5564591.04,2028-04-16
Micafungin Sodium,301066,24.28,7748360.02,2028-08-22
Penicillin V Potassium,3160852,0.24,808931.47,2028-12-29
Lidocaine HCl,5733,0.11,662.93,2028-04-15
Micafungin Sodium,301066,24.28,7748360.02,2028-08-23
Penicillin V Potassium,1524138,0.26,415425.20,2028-12-30
Lidocaine HCl,18978707,0.07,1430364.88,2028-04-14
Diclofenac Sodium,5505016,22.21,129631079.72,2028-12-28
Rosuvastatin Calcium,37196055,0.60,23581034.36,2028-07-06
Topiramate,27539449,0.16,4770101.70,2028-11-13
Rosuvastatin Calcium,41882333,0.98,43579178.78,2028-07-09
Topiramate,1012611,0.16,167143.19,2028-11-14
Zolpidem Tartrate,1798029,1.85,3533804.54,2028-03-23
Rosuvastatin Calcium,10614941,0.75,8485634.50,2028-07-08
Topiramate,1240449,0.57,746094.24,2028-11-15
Zolpidem Tartrate,1347237,1.80,2572281.48,2028-03-24
Ropinirole HCl,64711,0.28,18969.31,2028-07-15
Pen Needle, Diabetic,47830,0.20,10022.31,2028-11-20
Sertraline HCl,1665658,10.47,18480923.51,2028-03-29
Pen Needle, Diabetic,47830,0.20,10022.31,2028-11-21
Zolmitriptan,114840,8.94,1088736.91,2028-03-30
Topiramate,4103106,14.32,62294107.07,2028-11-22
Zolmitriptan,64234,7.71,525106.44,2028-04-01
Metronidazole,7695,1.83,14901.53,2028-07-11
Topiramate,530118,0.14,78054.93,2028-11-16
Zolpidem Tartrate,1984491,1.59,3349636.78,2028-03-25
Rosuvastatin Calcium,591295887,0.77,480363642.60,2028-07-10
Topiramate,4376125,0.11,487569.05,2028-11-17
Zolpidem Tartrate,1849850,1.69,3304437.91,2028-03-26
Topiramate,90437408,0.17,16393441.90,2028-11-18
Zolpidem Tartrate,9882481,1.68,17565851.92,2028-03-27
Metronidazole,7695,1.83,14901.53,2028-07-12
Topiramate,279898340,0.16,46733677.03,2028-11-19
Sertraline HCl,1665658,10.47,18480923.51,2028-03-28
Oxycodone HCl/Acetaminophen,2634070,18.77,52398684.12,2028-12-06
Oxycodone HCl/Acetaminophen,2634070,18.77,52398684.12,2028-12-07
Lidocaine HCl/PF,505371,0.58,311560.28,2028-03-22
Formoterol Fumarate,1277341,8.59,11632073.40,2028-12-04
Lidocaine HCl/PF,65100,0.57,39418.14,2028-03-21
Formoterol Fumarate,1277341,8.59,11632073.40,2028-12-05
Perindopril Erbumine,469946,0.78,387602.20,2028-12-02
Lidocaine HCl/PF,1927,0.24,498.22,2028-03-19
Perindopril Erbumine,1979398,0.73,1522807.64,2028-12-03
Lidocaine HCl/PF,165667,0.57,100342.93,2028-03-18
Mycophenolate Sodium,1066582,4.33,4898365.92,2028-07-24
Perindopril Erbumine,1128445,0.64,762188.46,2028-11-30
Lidocaine HCl/PF,245243,0.59,153192.60,2028-03-17
Mycophenolate Sodium,2371465,4.50,11315646.82,2028-07-25
Perindopril Erbumine,381007,0.94,379326.46,2028-12-01
Lidocaine HCl/PF,27434,0.58,16734.48,2028-03-16
Mycophenolate Sodium,662,2.67,1870.60,2028-07-22
Chlorhexidine Gluconate,2200157,0.01,27721.95,2028-11-28
Lidocaine HCl/Epinephrine,3089,0.23,765.16,2028-03-15
Chlorhexidine Gluconate,2200157,0.01,27721.95,2028-11-29
Lidocaine HCl/Epinephrine,3089,0.23,765.16,2028-03-14
Dextroamphetamine/Amphetamine,122725,9.24,1201755.45,2028-07-21
Rosuvastatin Calcium,75710747,0.93,74877899.18,2028-06-26
Rosuvastatin Calcium,64842369,0.82,56379184.79,2028-06-28
Topiramate,490318,13.90,7222844.98,2028-11-03
Rosuvastatin Calcium,164095361,0.77,133309601.24,2028-06-27
Topiramate,490318,13.90,7222844.98,2028-11-04
Topiramate,116183231,0.14,17393625.99,2028-11-09
Rosuvastatin Calcium,2681900,0.86,2433668.20,2028-07-03
Topiramate,38365389,0.17,6892278.41,2028-11-11
Rosuvastatin Calcium,59623999,0.77,48566762.69,2028-07-05
Rosuvastatin Calcium,8982,0.63,6021.78,2028-06-30
Topiramate,59336,0.25,15766.56,2028-11-05
Topiramate,9458,0.19,1872.85,2028-11-06
Rosuvastatin Calcium,13575117,0.88,12602895.86,2028-07-02
Topiramate,144765,0.16,24170.71,2028-11-08
Pentazocine HCl/Naloxone HCl,690142,1.76,1287677.07,2028-12-17
Mycophenolate Mofetil,213903,0.74,166960.29,2028-08-08
Pen Needle, Diabetic,709053,0.23,173213.04,2028-12-16
Mycophenolate Mofetil,7100883,1.09,8206089.78,2028-08-06
Pentoxifylline,40172789,0.26,10877461.34,2028-12-13
Pen Needle, Diabetic,709053,0.23,173213.04,2028-12-14
Lidocaine HCl,566621,0.59,353328.55,2028-03-29
Pentoxifylline,102385,0.27,29201.10,2028-12-11
Lidocaine HCl,580989,0.51,317113.94,2028-03-28
Mycophenolate Mofetil,25819293,0.73,19909993.86,2028-08-05
Pentoxifylline,5156362,0.23,1280073.42,2028-12-12
Lidocaine HCl,1994902,0.18,384944.19,2028-03-27
Mycophenolate Sodium,4171515,4.43,19578301.45,2028-08-02
Famotidine,66636,13.33,941385.31,2028-12-09
Lidocaine HCl,298586,0.43,135529.36,2028-03-26
Pentoxifylline,34914042,0.26,9580491.49,2028-12-10
Lidocaine HCl,42495,0.26,11856.24,2028-03-25
Mycophenolate Sodium,5202,4.80,26446.18,2028-07-31
Lidocaine HCl,5543814,0.53,3098486.53,2028-03-24
Mycophenolate Sodium,727604,4.31,3322636.09,2028-08-01
Famotidine,66636,13.33,941385.31,2028-12-08
Mesalamine W/Cleansing Wipes,342,619.86,224713.12,2028-06-16
Torsemide,140914941,0.24,35883689.93,2028-10-24
Rosuvastatin Calcium,2200577,0.94,2184450.51,2028-06-23
Metoprolol Succinate,65317291,0.55,38400886.05,2028-10-29
Rosuvastatin Calcium,111595698,0.58,69193237.75,2028-06-22
Topotecan HCl,186,196.45,38732.54,2028-10-30
Rosuvastatin Calcium,7239586,0.78,5949910.39,2028-06-24
Topotecan HCl,186,196.45,38732.54,2028-11-01
Rosuvastatin Calcium,28219,1.14,34087.27,2028-06-21
Metoprolol Succinate,65317291,0.55,38400886.05,2028-10-28
Torsemide,3572783,0.22,848432.19,2028-10-22
Mesalamine W/Cleansing Wipes,342,619.86,224713.12,2028-06-15
Torsemide,64803391,0.25,16848466.98,2028-10-23
Moxifloxacin HCl,805,8.33,7103.94,2028-09-28
Pen Needle, Diabetic,7760,0.44,3593.13,2028-02-05
Moxifloxacin HCl,13061,5.00,69180.78,2028-09-26
Pen Needle, Diabetic,14708963,0.56,8687290.10,2028-02-03
Pen Needle, Diabetic,4920,0.10,507.08,2028-02-04
Moxifloxacin HCl,179106,7.10,1347354.02,2028-09-24
Pen Needle, Diabetic,396251,0.20,85263.73,2028-02-01
Moxifloxacin HCl,77913,6.69,552136.97,2028-09-25
Pen Needle, Diabetic,310689,0.20,67134.08,2028-02-02
Plerixafor,685,6454.82,4686847.95,2028-09-22
Pen Needle, Diabetic,5860,0.18,1104.65,2028-01-30
Plerixafor,685,6454.82,4686847.95,2028-09-23
Pen Needle, Diabetic,13996163,0.58,8576897.83,2028-01-31
Pen Needle, Diabetic,173407,0.21,37939.46,2028-02-08
Pen Needle, Diabetic,39430,0.17,7292.74,2028-02-09
Rucaparib Camsylate,242931,123.91,31907591.77,2028-06-06
Oxycodone HCl,358364,8.14,3092841.77,2028-06-12
Torsemide,24494,0.26,6796.52,2028-10-18
Oxycodone HCl,358364,8.14,3092841.77,2028-06-11
Torsemide,13571,0.38,5403.77,2028-10-19
Levetiracetam,107357,0.26,29658.02,2028-06-14
Torsemide,60396889,0.24,15072651.19,2028-10-20
Levetiracetam,107357,0.26,29658.02,2028-06-13
Torsemide,12065150,0.24,3058953.21,2028-10-21
Ramelteon,4435319,12.83,60309382.17,2028-06-10
Torsemide,11172,0.37,4381.48,2028-10-16
Ramelteon,4435319,12.83,60309382.17,2028-06-09
Torsemide,27490,0.31,9113.98,2028-10-17
Rucaparib Camsylate,242931,123.91,31907591.77,2028-06-05
C1 Esterase Inhibitor, Recomb,868,5883.28,5413085.77,2028-06-04
Pen Needle, Diabetic,211248,0.59,131293.67,2028-02-14
Pen Needle, Diabetic,823584,0.81,704729.78,2028-02-15
Pen Needle, Diabetic,573441,0.20,119485.96,2028-02-12
Pen Needle, Diabetic,1079926,0.13,151146.35,2028-02-13
Pen Needle, Diabetic,363812,0.20,77998.61,2028-02-10
Pen Needle, Diabetic,31251493,0.18,6001543.96,2028-02-11
Pen Needle, Diabetic,34529021,0.19,7053160.76,2028-02-17
C1 Esterase Inhibitor, Recomb,868,5883.28,5413085.77,2028-06-03
Mupirocin,188513,0.40,79761.17,2028-09-06
Penicillin G Potassium,190956,4.78,966712.32,2028-01-14
Mupirocin,21003433,0.46,10261483.73,2028-09-07
Penicillin G Potassium,376728,4.09,1632115.62,2028-01-15
Mupirocin Calcium,4569317,9.02,43678042.26,2028-09-05
Penicillin G Potassium,185772,1.68,331143.90,2028-01-13
Mupirocin Calcium,4569317,9.02,43678042.26,2028-09-02
Penicillin G Sodium,40764,5.37,232193.55,2029-01-07
Penicillin G Sodium,40764,5.37,232193.55,2029-01-08
Mupirocin,9831707,0.38,3970589.26,2028-09-09
Mupirocin,20786692,0.45,9883226.41,2028-09-10
Dronedarone HCl,29900316,10.47,331746093.03,2028-09-17
Pedi Multivit No.17 W-Fluoride,2300,0.25,620.85,2028-09-15
Dronedarone HCl,29900316,10.47,331746093.03,2028-09-16
Pedi Multivit No.17 W-Fluoride,2300,0.25,620.85,2028-09-14
Mupirocin,18651077,0.46,9088210.90,2028-09-11
Mupirocin,70461424,0.44,33231049.70,2028-09-12
Morphine Sulfate,223577,12.70,3009894.19,2028-09-20
Morphine Sulfate,223577,12.70,3009894.19,2028-09-21
Midostaurin,172145,144.02,26280567.19,2028-05-10
Carbidopa/Levodopa,32138396,2.99,101890836.94,2028-05-09
Midostaurin,172145,144.02,26280567.19,2028-05-11
Carbidopa/Levodopa,32138396,2.99,101890836.94,2028-05-08
Propafenone HCl,250410,13.64,3620555.66,2028-05-07
Liothyronine Sodium,30642071,0.56,18212821.74,2028-01-19
Liothyronine Sodium,11699434,0.64,7877522.64,2028-01-17
Atorvastatin Calcium,6259243,11.90,78976417.83,2028-01-14
Atorvastatin Calcium,6259243,11.90,78976417.83,2028-01-13
Zidovudine,502358,0.60,319050.59,2028-06-29
Zidovudine,351913,0.58,214572.49,2028-06-30
Zileuton,299006,21.63,6855891.21,2028-06-24
Zileuton,265772,21.51,6061011.45,2028-06-25
Zileuton,564778,21.57,12915286.12,2028-06-26
Linezolid In Dextrose 5%,54900,0.18,10641.39,2028-01-30
Linezolid In Dextrose 5%,1061999,0.22,251284.09,2028-01-29
Linezolid In Dextrose 5%,947700,0.24,241265.09,2028-01-28
Linaclotide,58153481,13.10,807292447.55,2028-01-27
Linaclotide,58153481,13.10,807292447.55,2028-01-26
Baclofen,7700,43.69,356568.65,2028-01-25
Baclofen,7700,43.69,356568.65,2028-01-24
Liothyronine Sodium,42341506,0.58,26112239.16,2028-01-23
Bezlotoxumab,2891,98.61,302199.31,2028-06-13
Bezlotoxumab,2891,98.61,302199.31,2028-06-14
Diphenoxylate HCl/Atropine,477601,0.47,240338.54,2028-11-13
Diphenoxylate HCl/Atropine,35737513,0.49,18469117.90,2028-11-15
Diphenhydramine HCl,509696,0.69,370150.61,2028-11-18
Tafluprost/PF,3440333,6.20,22597045.83,2028-06-11
Diphenoxylate HCl/Atropine,62607752,0.47,31329415.59,2028-11-17
Tafluprost/PF,3440333,6.20,22597045.83,2028-06-12
Diphenhydramine HCl,274388,1.34,389305.21,2028-11-20
Diphenhydramine HCl,145024,0.15,22728.67,2028-11-22
Diphenhydramine HCl,81717,0.76,65709.21,2028-11-21
Ziprasidone HCl,1237377,1.63,2144001.10,2028-06-06
Diphenoxylate HCl/Atropine,611552,0.91,590911.74,2028-11-12
Ziprasidone HCl,4176,1.43,6323.83,2028-06-07
Ziprasidone HCl,49378736,1.54,80661002.67,2028-06-08
Ziprasidone HCl,5550537,1.84,10820126.93,2028-06-02
Ziprasidone HCl,3872093,1.45,5941641.36,2028-06-03
Ziprasidone HCl,32980,1.83,63935.90,2028-06-04
Ziprasidone HCl,16411,1.89,32815.95,2028-06-05
Ziprasidone HCl,1000099,1.71,1815575.44,2028-06-01
Tobramycin Sulfate,4195975,2.43,10798158.66,2028-01-18
Tobramycin In 0.225% Sod Chlor,34890,13.63,504174.03,2028-01-19
Ziprasidone HCl,39621,1.14,47775.62,2028-05-27
Tobramycin In 0.225% Sod Chlor,128763,14.48,1976437.44,2028-01-20
Ziprasidone HCl,8382661,1.51,13403464.18,2028-05-28
Ziprasidone HCl,4221730,1.29,5756638.77,2028-05-29
Tobramycin Sulfate,136412,0.70,100641.54,2028-01-14
Diclofenac Potassium,306037,10.65,3455929.02,2028-05-22
Tobramycin Sulfate,276475,0.65,189707.51,2028-01-15
Tobramycin Sulfate,3034818,5.91,19008299.80,2028-01-16
Tobramycin In 0.225% Sod Chlor,16640,15.77,278088.63,2028-01-22
Ziprasidone HCl,2608762,1.61,4453741.81,2028-05-30
Ziprasidone HCl,22412288,1.51,35903113.98,2028-05-31
Amitriptyline HCl,22543842,0.41,9806638.00,2028-05-29
Isotretinoin,220464,6.56,1533159.40,2028-07-10
Amitriptyline HCl,8118760,0.33,2844124.73,2028-05-28
Lubiprostone,49307880,6.30,329225754.56,2028-05-31
Lidocaine/Prilocaine,11571980,0.66,8151438.04,2028-03-02
Mirabegron,89780888,11.85,1127442797.92,2028-07-08
Amitriptyline HCl,199107850,0.39,82514030.13,2028-05-30
Lidocaine/Prilocaine,7172286,0.62,4703442.99,2028-03-01
Mirabegron,89780888,11.85,1127442797.92,2028-07-09
Amitriptyline HCl,23922126,0.45,11296214.27,2028-05-25
Lidocaine/Prilocaine,22761044,0.59,14151722.01,2028-02-29
Primidone,477357,34.58,17496485.37,2028-07-06
Amitriptyline HCl,36853,0.53,20753.15,2028-05-24
Primidone,477357,34.58,17496485.37,2028-07-07
Amitriptyline HCl,30070017,0.32,10108093.32,2028-05-27
Lidocaine/Prilocaine,5112507,0.71,3841815.88,2028-02-27
Crofelemer,200880,11.02,2345849.63,2028-07-04
Amitriptyline HCl,197182,0.42,88056.14,2028-05-26
Lidocaine,829780,15.59,13712093.86,2028-02-26
Crofelemer,200880,11.02,2345849.63,2028-07-05
Lidocaine,829780,15.59,13712093.86,2028-02-25
Levonorgestrel,20,719.31,15249.45,2028-02-24
Amitriptyline HCl,114219069,0.40,48088945.96,2028-05-23
Levonorgestrel,20,719.31,15249.45,2028-02-23
Levonorgestrel/Ethin.Estradiol,102956,0.46,50500.92,2028-02-22
Thyroid,Pork,3572579,0.67,2531529.09,2028-07-01
Tobramycin Sulfate,531,8.15,4585.25,2028-01-13
Azithromycin,551,66.42,38793.54,2028-05-15
Tobramycin,1592050,1.73,2914238.07,2029-01-07
Azithromycin,551,66.42,38793.54,2028-05-16
Tobramycin Sulfate,736272,0.51,400683.54,2029-01-08
Ganciclovir,119956,67.77,8616614.29,2028-05-17
Ganciclovir,119956,67.77,8616614.29,2028-05-18
Simvastatin,462910,7.21,3539137.79,2028-05-12
Tobramycin,773760,1.65,1353492.97,2029-01-04
Azithromycin,29895,33.99,1077011.74,2028-05-13
Tobramycin,292489,1.73,535043.89,2029-01-05
Azithromycin,29895,33.99,1077011.74,2028-05-14
Tobramycin Sulfate,11464,0.71,8588.30,2029-01-10
Diclofenac Potassium,306037,10.65,3455929.02,2028-05-21
Dextroamphetamine/Amphetamine,122725,9.24,1201755.45,2028-07-20
Mycophenolate Sodium,399204,8.29,3507922.24,2028-07-17
Lidocaine/Hydrocortisone Ac,3786,27.25,109370.72,2028-03-09
Busulfan,820,23.88,20753.36,2028-07-15
Lidocaine/Hydrocortisone Ac,3786,27.25,109370.72,2028-03-08
Mycophenolate Sodium,399204,8.29,3507922.24,2028-07-16
Lidocaine/Prilocaine,46624119,0.65,32075330.43,2028-03-07
Rimabotulinumtoxinb,673,584.84,417215.29,2028-07-13
Lidocaine/Prilocaine,6300,0.49,3296.75,2028-03-06
Busulfan,820,23.88,20753.36,2028-07-14
Isotretinoin,220464,6.56,1533159.40,2028-07-11
Rimabotulinumtoxinb,673,584.84,417215.29,2028-07-12
Tobramycin/Dexamethasone,1428522,16.04,24292882.45,2028-12-27
Zoledronic Ac/Mannitol/0.9nacl,1300,1.69,2327.59,2028-05-05
Tobramycin/Dexamethasone,1022976,16.28,17655431.70,2028-12-28
Goserelin Acetate,534,1393.50,788776.57,2028-05-06
Tobramycin/Dexamethasone,2451499,16.14,41949381.60,2028-12-29
Goserelin Acetate,534,1393.50,788776.57,2028-05-07
Tobramycin,38050,63.41,2557332.31,2028-12-24
Zoledronic Acid,7763,41.88,344604.21,2028-05-02
Zoledronic Ac/Mannitol/0.9nacl,1300,1.69,2327.59,2028-05-03
Tobramycin,332958,1.92,676467.07,2028-12-30
Ondansetron HCl,30619,31.29,1015561.57,2028-05-08
Ondansetron HCl,30619,31.29,1015561.57,2028-05-09
Tobramycin,192842,1.67,342288.19,2029-01-01
Simvastatin,462910,7.21,3539137.79,2028-05-10
Linezolid,172602,15.52,2839942.81,2028-02-11
Linezolid,285558,16.71,5058023.17,2028-02-09
Linezolid,656431,15.75,10959433.39,2028-02-08
Linezolid,65859,16.61,1159761.15,2028-02-07
Linezolid In 0.9% Sodium Chlor,1368591,0.21,298065.19,2028-02-06
Linezolid In 0.9% Sodium Chlor,1368591,0.21,298065.19,2028-02-05
Linezolid In Dextrose 5%,5842004,0.20,1230943.16,2028-02-04
Linezolid In Dextrose 5%,1657391,0.18,307974.98,2028-02-03
Linezolid In Dextrose 5%,2120014,0.19,423594.59,2028-02-02
Rizatriptan Benzoate,214165,2.44,553187.77,2028-08-09
Zoledronic Acid,1740,56.26,103762.42,2028-04-23
Rizatriptan Benzoate,657452,2.42,1687150.11,2028-08-08
Tolterodine Tartrate,17516228,1.71,31809377.93,2028-12-16
Rizatriptan Benzoate,1008858,2.54,2719715.62,2028-08-11
Rizatriptan Benzoate,221296,1.96,459074.04,2028-08-10
Zoledronic Acid,2445,50.06,129744.79,2028-04-26
Calcitriol,50083,1.76,93695.82,2028-08-07
Calcitriol,50083,1.76,93695.82,2028-08-06
Tolterodine Tartrate,5616091,1.71,10167875.79,2028-12-14
Zoledronic Acid/Mannitol-Water,428288,3.38,1534425.80,2028-04-22
Zoledronic Acid,2073,24.90,54724.82,2028-05-01
Rizatriptan Benzoate,757,2.73,2187.71,2028-08-13
Zoledronic Acid,85,8.22,740.19,2028-04-27
Rizatriptan Benzoate,434578,2.29,1055814.94,2028-08-12
Tolcapone,32328,74.35,2547909.73,2028-12-20
Tolcapone,32328,74.35,2547909.73,2028-12-21
Zoledronic Acid,1420,37.56,56542.45,2028-04-29
Rizatriptan Benzoate,357860,2.50,949949.93,2028-08-14
Tobramycin,38050,63.41,2557332.31,2028-12-22
Romiplostim,4376,2398.47,11125465.03,2028-06-29
Levonorgestrel/Ethin.Estradiol,102956,0.46,50500.92,2028-02-21
Thyroid,Pork,3572579,0.67,2531529.09,2028-06-30
Lincomycin HCl,471,20.26,10114.97,2028-02-20
Nabumetone,58173064,0.31,19319175.54,2028-06-27
Lincomycin HCl,471,20.26,10114.97,2028-02-19
Romiplostim,4376,2398.47,11125465.03,2028-06-28
Lincomycin HCl,524,11.29,6273.23,2028-02-18
Nabumetone,6059361,0.31,2007054.17,2028-06-25
Lincomycin HCl,524,11.29,6273.23,2028-02-17
Lindane,102662,1.77,192876.44,2028-02-16
Nabumetone,11715556,0.28,3497578.72,2028-06-23
Lindane,102662,1.77,192876.44,2028-02-15
Nabumetone,5967,0.32,2049.81,2028-06-24
Linezolid,1283144,16.06,21846417.94,2028-02-14
Nabumetone,22506257,0.33,7937782.26,2028-06-21
Linezolid,67699,3.97,285139.59,2028-02-13
Linezolid,34995,16.53,613165.23,2028-02-12
Zolmitriptan,27222,10.07,290465.70,2028-04-12
Tolterodine Tartrate,13861715,4.03,59218245.92,2028-12-05
Zolmitriptan,44199,10.69,500638.90,2028-04-13
Tolterodine Tartrate,18004899,3.88,74007001.01,2028-12-06
Zolmitriptan,107422,10.82,1231997.57,2028-04-14
Tolterodine Tartrate,35132292,3.94,146912182.16,2028-12-07
Vorinostat,31774,127.11,4280972.74,2028-04-15
Ropinirole HCl,3386568,2.91,10441928.41,2028-07-27
Ropinirole HCl,840181,2.59,2309997.95,2028-07-26
Tolterodine Tartrate,3255631,3.92,13518386.32,2028-12-03
Tolterodine Tartrate,5202391,1.68,9263005.71,2028-12-12
Zoledronic Acid/Mannitol-Water,59202,4.19,263175.55,2028-04-20
Zoledronic Acid/Mannitol-Water,63100,2.54,170027.33,2028-04-21
Vorinostat,31774,127.11,4280972.74,2028-04-16
Zoledronic Acid/Mannitol-Water,299286,3.42,1084047.89,2028-04-18
Tolterodine Tartrate,6697745,1.74,12369463.06,2028-12-11
Zoledronic Acid/Mannitol-Water,6700,2.39,17003.66,2028-04-19
Amikacin Sulfate,1073046,1.81,2061773.30,2028-07-08
Amikacin Sulfate,326854,1.63,565989.16,2028-07-07
Aminocaproic Acid,386303,19.12,7831217.86,2028-07-10
Aminocaproic Acid,386303,19.12,7831217.86,2028-07-09
Amikacin Sulfate,251271,1.70,451726.45,2028-07-04
Amikacin Sulfate,20913,3.26,72250.84,2028-07-03
Cholestyramine (With Sugar),86989162,1.44,133131557.94,2028-09-05
Diltiazem HCl,45049022,0.66,31446521.24,2028-01-13
Amikacin Sulfate,4592,3.24,15792.01,2028-07-05
Cholestyramine (With Sugar),43209695,1.30,59347633.52,2028-09-04
Hydromorphone HCl,612051,4.12,2671790.74,2028-01-15
Imm Glob G (IgG)/Sorb/IgA 0-50,510050,6.42,3471770.28,2028-05-22
Hydromorphone HCl,612051,4.12,2671790.74,2028-01-14
Flavoxate HCl,450294,0.82,389240.47,2028-05-23
Amikacin Sulfate,469415,1.79,892262.49,2028-07-02
Flavoxate HCl,503092,0.87,461907.77,2028-05-24
Amiloride HCl,6107566,0.33,2140178.80,2028-07-01
Chlorzoxazone,5808183,0.52,3177645.79,2028-09-08
Flavoxate HCl,953386,0.84,849392.62,2028-05-25
Cholestyramine (With Sugar),39783330,1.53,64694736.77,2028-08-31
Diltiazem HCl,10681078,2.49,28167523.36,2029-01-07
Flecainide Acetate,35587978,0.62,23496424.86,2028-05-15
Flecainide Acetate,2769375,0.54,1575876.10,2028-05-16
Cholestyramine (With Sugar),3079498,1.82,5951813.82,2028-09-02
Diltiazem HCl,171590,3.47,631819.48,2029-01-09
Flecainide Acetate,74943,0.62,49431.18,2028-05-17
Flecainide Acetate,646114,1.05,722399.13,2028-05-18
Diltiazem HCl,45049022,0.66,31446521.24,2029-01-11
Flecainide Acetate,38913440,0.53,21694661.75,2028-05-19
Cholestyramine (With Sugar),253640,1.83,491733.75,2028-09-03
Diltiazem HCl,10852668,2.51,28866367.94,2029-01-10
Flecainide Acetate,108375788,0.60,69061512.90,2028-05-20
Imm Glob G (IgG)/Sorb/IgA 0-50,510050,6.42,3471770.28,2028-05-21
Amiloride HCl,2071909,0.54,1180674.40,2028-06-30
Amiloride/Hydrochlorothiazide,4750010,0.45,2260076.52,2028-06-27
Amiloride/Hydrochlorothiazide,2399498,0.47,1186592.62,2028-06-26
Amiloride HCl,4035657,0.23,981063.56,2028-06-29
Amiloride/Hydrochlorothiazide,2350512,0.43,1076391.44,2028-06-25
Aminocaproic Acid,3494,18.34,67938.90,2028-06-24
Dihydroergotamine Mesylate,86236,360.96,32995710.13,2028-01-23
Chlorzoxazone,521460,13.51,7465343.80,2028-09-17
Degarelix Acetate,2303,527.10,1286734.41,2028-06-03
Dihydroergotamine Mesylate,25470,102.04,2754922.03,2028-01-28
Degarelix Acetate,2303,527.10,1286734.41,2028-06-04
Phenytoin Sodium Extended,27562084,1.21,35323040.89,2028-01-19
Fluorometholone Acetate,10505,14.48,161272.84,2028-05-26
Phenytoin Sodium Extended,27562084,1.21,35323040.89,2028-01-18
Phenytoin,1739038,1.17,2160631.81,2028-01-21
Fluorometholone Acetate,10505,14.48,161272.84,2028-05-28
Phenytoin,1739038,1.17,2160631.81,2028-01-20
Aminocaproic Acid,3494,18.34,67938.90,2028-06-15
Amiodarone HCl,19879801,0.30,6333014.33,2028-06-12
Amiodarone HCl,1196,2.33,2955.22,2028-06-11
Atovaquone/Proguanil HCl,1053915,3.41,3811942.65,2028-04-07
Amiodarone HCl,144775107,0.50,76940304.37,2028-06-13
Atovaquone,5923850,3.62,22730419.26,2028-04-10
Tadalafil,10335895,16.51,180868365.47,2028-08-16
Diltiazem HCl,97791346,0.83,85822032.48,2028-12-23
Atovaquone/Proguanil HCl,1853739,3.51,6900250.12,2028-04-08
Chorionic Gonadotropin, Human,2128,225.74,509198.41,2028-08-18
Diltiazem HCl,122893,0.48,62139.00,2028-12-25
Tadalafil,10335895,16.51,180868365.47,2028-08-17
Diltiazem HCl,185291,0.60,117447.59,2028-12-24
Simvastatin,26550,1.71,48225.19,2028-05-03
Tretinoin,3960,12.60,52877.25,2028-04-03
Ciclopirox,1493770,4.08,6454669.96,2028-08-09
Atovaquone/Proguanil HCl,633081,3.64,2440466.07,2028-04-04
Ciclopirox,3676510,1.35,5254406.43,2028-08-08
Efavirenz/Emtricit/Tenofovr Df,3519797,92.20,343981094.82,2028-04-01
Ciclopirox,12286896,3.85,50140950.69,2028-08-11
Diltiazem HCl,4050544,2.25,9652841.91,2028-12-18
Tretinoin,3960,12.60,52877.25,2028-04-02
Ciclopirox,1108729,4.62,5432193.02,2028-08-10
Diltiazem HCl,4050544,2.25,9652841.91,2028-12-17
Ciclopirox,1504,4.35,6928.70,2028-08-13
Diltiazem HCl,18851,5.72,114207.62,2028-12-20
Ciclopirox,1504,4.35,6928.70,2028-08-12
Diltiazem HCl,224700,0.56,132992.98,2028-12-19
Atovaquone/Proguanil HCl,113143,3.44,412592.67,2028-04-05
Diltiazem HCl,4528544,5.57,26754321.19,2028-12-22
Atovaquone/Proguanil HCl,53600,4.14,234968.58,2028-04-06
